2024-03-13 00:29:16 [SpringApplicationShutdownHook] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Waiting for workers to finish.
2024-03-13 00:29:17 [SpringApplicationShutdownHook] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Successfully waited for workers to finish.
2024-03-13 00:29:17 [SpringApplicationShutdownHook] INFO  o.s.i.a.i.AmqpInboundChannelAdapter - stopped bean 'inbound.springCloudBus.anonymous.ycca2RkFQI-hBiRZ9KWpUg'
2024-03-13 00:29:17 [SpringApplicationShutdownHook] INFO  o.s.c.s.binder.BinderErrorChannel - Channel 'configserver.rabbit-111768855.springCloudBusInput.errors' has 1 subscriber(s).
2024-03-13 00:29:17 [SpringApplicationShutdownHook] INFO  o.s.i.endpoint.EventDrivenConsumer - Removing {logging-channel-adapter:_org.springframework.integration.errorLogger} as a subscriber to the 'errorChannel' channel
2024-03-13 00:29:17 [SpringApplicationShutdownHook] INFO  o.s.i.c.PublishSubscribeChannel - Channel 'configserver.errorChannel' has 0 subscriber(s).
2024-03-13 00:29:17 [SpringApplicationShutdownHook] INFO  o.s.i.endpoint.EventDrivenConsumer - stopped bean '_org.springframework.integration.errorLogger'
2024-03-13 11:40:20 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-03-13 11:40:20 [main] INFO  n.p.h.configserver.ConfigServerKt - Starting ConfigServerKt using Java 17.0.10 with PID 3872 (/Volumes/mac-mini-ext/practice/gradle/HShop/config-server/build/classes/kotlin/main started by philipheur in /Volumes/mac-mini-ext/practice/gradle/HShop)
2024-03-13 11:40:20 [main] INFO  n.p.h.configserver.ConfigServerKt - The following 1 profile is active: "native"
2024-03-13 11:40:21 [main] INFO  o.s.i.c.DefaultConfiguringBeanFactoryPostProcessor - No bean named 'errorChannel' has been explicitly defined. Therefore, a default PublishSubscribeChannel will be created.
2024-03-13 11:40:21 [main] INFO  o.s.i.c.DefaultConfiguringBeanFactoryPostProcessor - No bean named 'integrationHeaderChannelRegistry' has been explicitly defined. Therefore, a default DefaultHeaderChannelRegistry will be created.
2024-03-13 11:40:21 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=c6e2715d-728b-38fa-b0e5-14bdabfe9feb
2024-03-13 11:40:21 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8888 (http)
2024-03-13 11:40:21 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2024-03-13 11:40:21 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-03-13 11:40:21 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-03-13 11:40:21 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-03-13 11:40:21 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1074 ms
2024-03-13 11:40:22 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@f9a5e3f, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4aac81ca, org.springframework.security.web.context.SecurityContextHolderFilter@6076c66, org.springframework.security.web.header.HeaderWriterFilter@2f99d8c, org.springframework.web.filter.CorsFilter@393ae7a0, org.springframework.security.web.authentication.logout.LogoutFilter@214fba74, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@365e65bb, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1224e1b6, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@72a3462f, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@63326a3a, org.springframework.security.web.access.ExceptionTranslationFilter@5c1c9881, org.springframework.security.web.access.intercept.AuthorizationFilter@56266bda]
2024-03-13 11:40:22 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates, check your Thymeleaf configuration, or set spring.thymeleaf.check-template-location=false)
2024-03-13 11:40:22 [main] INFO  o.s.c.s.m.DirectWithAttributesChannel - Channel 'configserver.springCloudBusInput' has 1 subscriber(s).
2024-03-13 11:40:22 [main] INFO  o.s.i.endpoint.EventDrivenConsumer - Adding {logging-channel-adapter:_org.springframework.integration.errorLogger} as a subscriber to the 'errorChannel' channel
2024-03-13 11:40:22 [main] INFO  o.s.i.c.PublishSubscribeChannel - Channel 'configserver.errorChannel' has 1 subscriber(s).
2024-03-13 11:40:22 [main] INFO  o.s.i.endpoint.EventDrivenConsumer - started bean '_org.springframework.integration.errorLogger'
2024-03-13 11:40:22 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2024-03-13 11:40:22 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8888 (http) with context path ''
2024-03-13 11:40:22 [main] INFO  o.s.c.s.binder.DefaultBinderFactory - Creating binder: rabbit
2024-03-13 11:40:22 [main] INFO  o.s.c.s.binder.DefaultBinderFactory - Constructing binder child context for rabbit
2024-03-13 11:40:22 [main] INFO  o.s.c.s.binder.DefaultBinderFactory - Caching the binder: rabbit
2024-03-13 11:40:22 [main] INFO  o.s.c.s.b.r.p.RabbitExchangeQueueProvisioner - declaring queue for inbound: springCloudBus.anonymous.whyE0MuIQqO2yDuGeMsmrw, bound to: springCloudBus
2024-03-13 11:40:22 [main] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [192.168.50.141:5672]
2024-03-13 11:40:22 [main] INFO  o.s.a.r.c.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#3be46d9c:0/SimpleConnection@1610c03c [delegate=amqp://guest@192.168.50.141:5672/, localPort=61594]
2024-03-13 11:40:22 [main] INFO  o.s.c.s.binder.BinderErrorChannel - Channel 'rabbit-68600240.springCloudBusInput.errors' has 1 subscriber(s).
2024-03-13 11:40:22 [main] INFO  o.s.c.s.binder.BinderErrorChannel - Channel 'rabbit-68600240.springCloudBusInput.errors' has 2 subscriber(s).
