2024-03-23 16:34:17 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-03-23 16:34:17 [main] INFO  n.p.h.configserver.ConfigServerKt - Starting ConfigServerKt using Java 17.0.10 with PID 90411 (/Volumes/mac-mini-ext/practice/gradle/HShop/config-server/build/classes/kotlin/main started by philipheur in /Volumes/mac-mini-ext/practice/gradle/HShop)
2024-03-23 16:34:17 [main] INFO  n.p.h.configserver.ConfigServerKt - The following 1 profile is active: "native"
2024-03-23 16:34:18 [main] INFO  o.s.i.c.DefaultConfiguringBeanFactoryPostProcessor - No bean named 'errorChannel' has been explicitly defined. Therefore, a default PublishSubscribeChannel will be created.
2024-03-23 16:34:18 [main] INFO  o.s.i.c.DefaultConfiguringBeanFactoryPostProcessor - No bean named 'integrationHeaderChannelRegistry' has been explicitly defined. Therefore, a default DefaultHeaderChannelRegistry will be created.
2024-03-23 16:34:18 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=68d1ae5d-d69d-3db6-9bb2-3460219a38b0
2024-03-23 16:34:18 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8888 (http)
2024-03-23 16:34:18 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2024-03-23 16:34:18 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-03-23 16:34:18 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-03-23 16:34:18 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-03-23 16:34:18 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1225 ms
2024-03-23 16:34:19 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2024-03-23 16:34:19 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@460e5ffe, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1a4cbcc6, org.springframework.security.web.context.SecurityContextHolderFilter@651cedfb, org.springframework.security.web.header.HeaderWriterFilter@5814b4fb, org.springframework.web.filter.CorsFilter@7cecab19, org.springframework.security.web.authentication.logout.LogoutFilter@7805478c, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@6c36051c, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@73d83141, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@31443680, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@56402642, org.springframework.security.web.access.ExceptionTranslationFilter@5724c7da, org.springframework.security.web.access.intercept.AuthorizationFilter@7b64bbad]
2024-03-23 16:34:19 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates, check your Thymeleaf configuration, or set spring.thymeleaf.check-template-location=false)
2024-03-23 16:34:19 [main] INFO  o.s.c.s.m.DirectWithAttributesChannel - Channel 'configserver.springCloudBusInput' has 1 subscriber(s).
2024-03-23 16:34:19 [main] INFO  o.s.i.endpoint.EventDrivenConsumer - Adding {logging-channel-adapter:_org.springframework.integration.errorLogger} as a subscriber to the 'errorChannel' channel
2024-03-23 16:34:19 [main] INFO  o.s.i.c.PublishSubscribeChannel - Channel 'configserver.errorChannel' has 1 subscriber(s).
